genEra,marketId,year,period,nRuns,share1_mean,share1_median,share1_p90,share1_max,share2_mean,top3_mean,top5_mean,top10_mean,nBook_mean,nComm_mean,sharePublic_mean,shareInst_mean,pct_share1_gt_0.10,pct_share1_gt_0.12,pct_top5_gt_0.40,pct_top10_gt_0.65,chr_lead_pct,chr_lead_mean_share1,histo_lead_format,histo_lead_kind
1985,seattle,1995,1,20,0.1316,0.1287,0.1407,0.1513,0.1004,0.3192,0.4790,0.7507,30.70,27.70,0.0475,0.0475,1.000,1.000,1.000,1.000,0.900,0.1312,TOP40:18|NEWS_TALK:2,commercial:20
1985,seattle,2000,1,20,0.1271,0.1286,0.1357,0.1467,0.1025,0.3169,0.4702,0.7436,27.85,24.85,0.0481,0.0481,1.000,0.750,1.000,1.000,0.800,0.1254,TOP40:16|NEWS_TALK:4,commercial:20
1985,seattle,2010,1,20,0.1172,0.1150,0.1280,0.1466,0.0889,0.2773,0.4073,0.6641,29.95,26.95,0.0542,0.0627,0.950,0.300,0.500,0.750,0.800,0.1161,TOP40:16|NEWS_TALK:4,commercial:20
1985,seattle,2020,1,20,0.1191,0.1208,0.1327,0.1390,0.0814,0.2729,0.3999,0.6585,28.50,25.50,0.0625,0.0731,0.950,0.500,0.400,0.550,0.950,0.1184,TOP40:19|NEWS_TALK:1,commercial:20
1985,seattle,2026,1,20,0.1276,0.1260,0.1531,0.1538,0.0773,0.2752,0.4021,0.6629,27.45,24.45,0.0655,0.0795,0.950,0.600,0.600,0.700,1.000,0.1276,TOP40:20,commercial:20
1985,sanfrancisco,1995,1,20,0.1298,0.1312,0.1390,0.1425,0.1021,0.3194,0.4788,0.7412,31.75,28.75,0.0608,0.0608,1.000,0.950,1.000,1.000,1.000,0.1298,TOP40:20,commercial:20
1985,sanfrancisco,2000,1,20,0.1285,0.1275,0.1365,0.1384,0.0972,0.3106,0.4620,0.7308,28.35,25.35,0.0600,0.0600,1.000,0.950,1.000,1.000,0.850,0.1278,TOP40:17|NEWS_TALK:3,commercial:20
1985,sanfrancisco,2010,1,20,0.1247,0.1229,0.1411,0.1582,0.0834,0.2774,0.4051,0.6620,29.10,26.10,0.0669,0.0669,1.000,0.650,0.700,0.750,0.850,0.1242,TOP40:17|NEWS_TALK:3,commercial:20
1985,sanfrancisco,2020,1,20,0.1206,0.1227,0.1314,0.1434,0.0742,0.2609,0.3838,0.6480,28.90,25.90,0.0790,0.0824,1.000,0.550,0.250,0.600,1.000,0.1206,TOP40:20,commercial:20
1985,sanfrancisco,2026,1,20,0.1256,0.1252,0.1471,0.1707,0.0799,0.2737,0.3987,0.6632,27.75,24.75,0.0824,0.0864,0.950,0.700,0.450,0.800,0.950,0.1265,TOP40:19|NEWS_TALK:1,commercial:20
